異動,藥品代號,藥品英文名稱,藥品中文名稱,規格量,規格單位,單複方,參考價,有效起日,有效迄日,製造廠名稱,劑型,成份,ATC_CODE,
,A001866100,AMPICILLIN CAPSULES 500MG ”PANBIOTIC”,安比西林膠囊５００公絲,0,,單方,1.34,1070501,9991231,臺灣汎生製藥廠股份有,膠囊劑,AMPICILLIN (TRIHYDRATE),J01CA01,
,A001997100,TRANSONE TABLETS,多朗舒錠,0,,單方,0.86,1030701,9991231,中生生技製藥股份有限,錠劑,CHLORZOXAZONE,M03BB03,
,A002086100,WEIERNIN TABLETS ”NAN TO”,胃爾寧片,0,,複方,0.85,1030701,9991231,南都化學製藥股份有限,錠劑,ALUMINUM HYDROXIDE HEXITOL CO-DRIED GEL+ALUMINUM SILICATE+CHLORDIAZEPOXIDE HCL+DICYCLOMINE HCL+MAGNESIUM OXIDE+SCOPOLAMINE BROMOBUTYLATE,A02AG,
,A002362100,BROSCO TABLETS ”ORIENTAL”,普樂施克錠,0,,單方,0.96,1030701,9991231,東洲化學製藥廠股份有,錠劑,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE),A03BB01,
,A002445100,CLOXAMPICIN CAPSULES 250MG ”PANBIOTIC”,刻安黴素膠囊２５０公絲,0,,複方,1.54,1001201,9991231,臺灣汎生製藥廠股份有,膠囊劑,AMPICILLIN (TRIHYDRATE)+CLOXACILLIN (SODIUM),J01CR50,
,A002555100,MAWEI TABLETS ”YU SHENG”,滿胃夷錠,0,,單方,0.15,840301,9991231,優生製藥廠股份有限公,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,
,A002595100,BALON S.C. TABLETS,培朗糖衣錠,0,,單方,0.62,1030701,9991231,豐田藥品股份有限公司,糖衣錠,METOCLOPRAMIDE (2HCL MONOHYDRATE),A03FA01,
,A002635100,GASTROPAN S.C. TABLETS,肚朗伴糖衣錠,0,,單方,0.88,1030701,9991231,約克製藥股份有限公司,糖衣錠,SCOPOLAMINE BROMOBUTYLATE,A03BB01,
,A002657229,PROGESTERONE INJECTION 2.5% ”ASTAR”,黃體素注射液２．５％,10,ML,單方,15.3,1091001,9991231,安星製藥股份有限公司,注射劑,PROGESTERONE,G03DA04,
,A002658100,LIUMPIN TABLETS,旅暈平錠,0,,單方,1.83,981001,9991231,華盛頓製藥廠股份有限,錠劑,CYCLIZINE HCL,R06AE03,
,A002760100,THIAN TABLETS ”YU SHENG”,祈祥錠,0,,單方,0.47,1110101,9991231,優生製藥廠股份有限公,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A002856100,FULLPHAGEN TABLETS ”F.Y.”,福而化原錠,0,,複方,0.5,1001201,9991231,福元化學製藥股份有限,錠劑,BIOTIN+CHLORPHENIRAMINE MALEATE+NIACINAMIDE (=NICOTINAMIDE)+PANTOTHENATE CALCIUM+PYRIDOXINE HCL+RIBOFLAVIN (=VIT B2),R06AB54,
,A002994100,KANGCHINMIN CAPSULES ”Y.S.”,”岳生”抗疹敏膠囊,0,,複方,0.89,1030701,9991231,岳生生技股份有限公司,膠囊劑,CHLORPHENIRAMINE MALEATE+GLYCYRRHIZIC ACID (=GLYCYRRHETINIC ACID GLYCOSIDE)+OROTIC ACID (=VIT B13),R06AB54,
,A003023212,FUYULIN INJECTION ”ASTAR”,膚癒寧注射液,2,ML,複方,7.1,920301,9991231,安星製藥股份有限公司,注射劑,BIOTIN+CHLORPHENIRAMINE MALEATE+FLAVINEADENINE DINUCLEOTIDE+METHIONINE DL-+NIACINAMIDE (=NICOTINAMIDE)+PANTHENOL,R06AB54,
,A003092100,ASPIRIN TABLETS 500MG ”S.Y.”,阿斯必林錠５００公絲,0,,單方,0.45,840301,9991231,健喬信元醫藥生技股份,錠劑,ASPIRIN,N02BA01,
,A003156212,VITA-6 INJECTION ”ANSHIN”,益他六注射液,2,ML,單方,2.89,1030701,9991231,安星製藥股份有限公司,注射劑,PYRIDOXAL 5-PHOSPHATE,A11HA06,
,A003157221,HISTIDINE INJECTION ”ANSHIN”,胃須鎮注射液,5,ML,單方,4.69,1030701,9991231,安星製藥股份有限公司,注射劑,HISTIDINE L- HCL (= HISTIDINE L- CHLORIDE),A02BX94,
,A003311100,TRIENZYME CAPSULES ”WASHINGTON”,三酵素膠囊,0,,複方,0.9,1030701,9991231,華盛頓製藥廠股份有限,膠囊劑,DIASTASE+PANCREATIN (=DIASTASE VERA)+PEPSIN SACCHARATED,A09AA02,
,A003326100,PINGIN TABLETS,平痙錠,0,,單方,0.97,900401,9991231,回春堂製藥廠股份有限,錠劑,HOMATROPINE HBR,A03BB06,
,A003373321,FLUCONIN OINT.,富爾可寧軟膏,5,GM,複方,33.4,1120401,9991231,健喬信元醫藥生技股份,軟膏劑,FLUOCINOLONE ACETONIDE+NEOMYCIN (SULFATE),D07CC02,
,A003373329,FLUCONIN OINT.,富爾可寧軟膏,10,GM,複方,40.1,1120401,9991231,健喬信元醫藥生技股份,軟膏劑,FLUOCINOLONE ACETONIDE+NEOMYCIN (SULFATE),D07CC02,
,A003386209,ORICORT-IM INJECTION ”ORIENTAL”,歐力克特肌肉注射液,1,ML,單方,20.7,1060401,9991231,東洲化學製藥廠股份有,注射劑,TRIAMCINOLONE (ACETONIDE),H02AB08,
,A003386212,ORICORT-IM INJECTION ”ORIENTAL”,歐力克特肌肉注射液,2,ML,單方,23.8,1030701,9991231,東洲化學製藥廠股份有,注射劑,TRIAMCINOLONE (ACETONIDE),H02AB08,
,A003386229,ORICORT-IM INJECTION,歐力克特肌肉注射液,10,ML,單方,57,1030701,9991231,東洲化學製藥廠股份有,注射劑,TRIAMCINOLONE (ACETONIDE),H02AB08,
,A003393100,CHLORPROMAZINE HCL S.C. TABLETS 100MG ”VPP”,鹽酸氯普魯麻淨糖衣錠１００公絲,0,,單方,1.46,1070501,9991231,榮民製藥股份有限公司,糖衣錠,CHLORPROMAZINE (HCL),N05AA01,
,A003417209,STREPTOMYCIN SULFATE FOR INJECTION 1G ”VPP”,硫酸鏈絲菌素注射劑,1,GM,單方,52,1050501,9991231,榮民製藥股份有限公司,乾粉注射劑,STREPTOMYCIN (SULFATE),J01GA01,
,A003446221,ORICORT INJECTION ”ORIENTAL”,歐力克特注射液,5,ML,單方,23.8,1030701,9991231,東洲化學製藥廠股份有,注射劑,TRIAMCINOLONE (ACETONIDE),H02AB08,
,A003551100,PRONALATE TABLETS ”PANBIOTIC”,汎克胃錠,0,,複方,1.17,900401,9991231,臺灣汎生製藥廠股份有,錠劑,GLYCYRRHETATE SODIUM+HISTIDINE L- HCL (= HISTIDINE L- CHLORIDE)+MAGNESIUM ALUMINUM METASILICATE (=NEUSILIN)+PIPERILATE(=PIPETHANATE) HCL (=PENSANTE),A02AG,
,A003572421,CON-F EYE DROPS,康愛富點眼液,5,ML,複方,18.2,1030701,9991231,綠洲化學工業有限公司,點眼液劑,CHONDROITIN SULFATE+FLAVINEADENINE DINUCLEOTIDE SODIUM,S01GX99,
,A003621100,DEXCON TABLETS 10MG,消咳舒錠１０公絲,0,,單方,0.43,1110101,9991231,豐田藥品股份有限公司,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A003633100,BENDA TABLETS ”Y.S.”,敏達錠,0,,單方,0.16,1050401,9991231,臺灣陽生製藥工業股份,錠劑,CHLORPHENIRAMINE MALEATE,R06AB04,
,A003715271,LEUCOMYCIN INTRAVENOUS INJ 400MG ”T.T.Y”,樂黴素靜脈注射劑４００毫克,400,MG,單方,50,960901,9991231,臺灣東洋藥品工業股份,乾粉注射劑,LEUCOMYCIN (TRIACETYL),J01FA91,
,A003727100,HITUS CAPSULES 25 MG,彼使膠囊２５公絲,0,,單方,0.45,890401,9991231,福元化學製藥股份有限,膠囊劑,DIPHENHYDRAMINE HCL,R06AA02,
,A003786209,ERGOMETRIN INJECTION ”ASTAR”,麥角新　注射液,1,ML,單方,2.76,1001201,9991231,安星製藥股份有限公司,注射劑,ERGONOVINE MALEATE,G02AB03,
,A003792100,TOLBUTAMIDE TABLETS ”R.S.P.P.”,吐魯必他胺錠,0,,單方,1,1001201,9991231,榮民製藥股份有限公司,錠劑,TOLBUTAMIDE,A10BB03,
,A003794100,EPHEDRINE SULFATE CAPSULES ”VPP”,硫酸麻黃素膠囊,0,,單方,0.56,1030701,9991231,榮民製藥股份有限公司,膠囊劑,EPHEDRINE SULFATE,R03CA02,
,A003893100,NITROFURANTOIN TABLETS 100MG ”R.S.P.P”,硝弗侖陶因錠１００公絲,0,,單方,0.59,1030701,9991231,榮民製藥股份有限公司,錠劑,NITROFURANTOIN,J01XE01,
,A003902100,SUSWUN TABLETS,舒爽錠,0,,單方,0.89,1030701,9991231,臺灣陽生製藥工業股份,錠劑,TRIAMCINOLONE,H02AB08,
,A003911100,AMINOPHYLLINE TABLETS 200MG ”VPP”,氨基非林錠２００公絲,0,,單方,0.67,1030701,9991231,榮民製藥股份有限公司,錠劑,AMINOPHYLLINE (=COROPHYLLIN),R03DA05,
,A003941421,NARPINA EYE DROPS,拿必樂點眼液,5,ML,單方,12.7,981001,9991231,綠洲化學工業有限公司,點眼液劑,NAPHAZOLINE NITRATE,S01GA01,
,A004001421,PILOCARPINE EYE DROPS 4%,綠賜明點眼液４％,5,ML,單方,42.7,981001,9991231,綠洲化學工業有限公司,點眼液劑,PILOCARPINE HCL,S01EB01,
,A004042100,LICOTIN TABLETS ”YUNG CHI”,利咳治錠,0,,單方,0.47,1110101,9991231,永吉製藥股份有限公司,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A004068429,SELEAR EYE DROPS,視麗兒點眼液,10,ML,複方,17.2,981001,9991231,綠洲化學工業有限公司,點眼液劑,BENZALKONIUM CHLORIDE+BORIC ACID+POTASSIUM CHLORIDE+SODIUM CHLORIDE+SODIUM PHOSPHATE MONOBASIC (=MONOSODIUM PHOSPHATE)+THIMEROSAL (=SODIUM ETHYLMERCURITHIOSALICYLATE),S01XA20,
,A004073221,STACORT-A INJECTION  10MG ”STANDARD”,善達克注射液,5,ML,單方,23.8,1030701,9991231,生達化學製藥股份有限,注射劑,TRIAMCINOLONE ACETONIDE,H02AB08,
,A004073299,STACORT-A INJECTION  10MG ”STANDARD”,善達克注射液,1,ML,單方,4.3,1001201,9991231,生達化學製藥股份有限,注射劑,TRIAMCINOLONE ACETONIDE,H02AB08,
,A004188417,F.A.D. EYE OINTMENT,富滴明眼藥膏,3.5,GM,複方,21.8,981001,9991231,綠洲化學工業有限公司,點眼膏劑,FLAVINEADENINE DINUCLEOTIDE+PYRIDOXAL 5-PHOSPHATE,S01GX99,
,A004189100,RESERPINE TABLETS ”VPP”,蛇根鹼錠,0,,單方,0.08,1030701,9991231,榮民製藥股份有限公司,錠劑,RESERPINE,C02AA02,
,A004219100,BISLAN TABLETS ”YUNG SHIN”,袪痰錠,0,,單方,0.23,1110101,9991231,永信藥品工業股份有限,錠劑,BROMHEXINE HCL,R05CB02,
,A004223100,SULFISOMEZOLE TABLETS ”R.S.P.P.”,磺胺二甲異噁唑錠,0,,單方,0.85,900401,9991231,榮民製藥股份有限公司,錠劑,SULFIRAME(=MONOSULFIRAM),J01E,
,A004255100,ERYTHROMYCIN ESTOLATE CAPSULES ”ASTAR”,紅黴素膠囊,0,,單方,1.43,1001201,9991231,安星製藥股份有限公司,膠囊劑,ERYTHROMYCIN (PROPIONYL LAURYL SULPHATE),J01FA01,
,A004263100,ANTICOUGH CAPSULES,咳夫定膠囊,0,,複方,0.89,1030701,9991231,寶齡富錦生技股份有限,膠囊劑,CHLORPHENIRAMINE MALEATE+CLOPERASTINE HCL+METHYLEPHEDRINE DL- HCL+POTASSIUM GUAIACOL SULFONATE,R05FB02,
,A004322229,VITAMIN B COMPLEX INJECTION ”VPP”,複方維生素乙注射液,10,ML,複方,13.4,1030701,9991231,榮民製藥股份有限公司,注射劑,NIACINAMIDE (=NICOTINAMIDE)+PYRIDOXINE HCL+RIBOFLAVIN (=VIT B2)+SODIUM PANTOTHENATE+THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE),B05XC,
,A004461100,ANTICOUGH TABLETS,”長安”鎮咳錠,0,,單方,0.46,890401,9991231,長安化學工業股份有限,錠劑,OXELADIN CITRATE,R05DB09,
,A004466297,TRICILLIN INJECTION ”VPP”,三青黴素注射劑,1.2,MU,複方,12.4,1050501,9991231,榮民製藥股份有限公司,乾粉注射劑,PENICILLIN G BENZATHINE+PENICILLIN G POTASSIUM (=BENZYLPENICILLIN POTASSIU+PENICILLIN G PROCAINE,J01CE08,
,A004488421,BISMING EYE DROPS,必視明點眼液,5,ML,單方,16.7,1001201,9991231,綠洲化學工業有限公司,點眼液劑,AZULENE WATER SOLUBLE,S01GX,
,A004489417,COLIMYCIN EYE OINTMENT,抗力邁新眼藥膏,3.5,GM,複方,22,970901,9991231,綠洲化學工業有限公司,點眼膏劑,COLISTIN (METHASULFANATE SODIUM)+TETRACYCLINE (HCL),S01AA30,
,A004491417,ERYSMYCIN EYE OINTMENT,愛力視邁新眼藥膏,3.5,GM,複方,17.7,981001,9991231,綠洲化學工業有限公司,點眼膏劑,COLISTIN SODIUM METHANESULFONATE+ERYTHROMYCIN LACTOBIONATE,S01AA30,
,A004539157,BOINTUSSIN SOLUTION 20MG/ML (GUAIFENESIN)”BOWLIN”,咳嗽液２０公絲／公撮（格利西力）,120,ML,單方,16.9,1030701,9991231,寶齡富錦生技股份有限,內服液劑,GUAIACOL GLYCOLATE (=GLYCERYL GUAIACOLATE),R05CA03,
,A004648100,DECARON TABLETS,列卡朗錠,0,,單方,0.69,1030701,9991231,華樺生技藥品股份有限,錠劑,DEXAMETHASONE,H02AB02,
,A004703100,CHLORDIAZEPOXIDE HCL CAPSULES 10MG ”VPP”,鹽酸氯爾的亞斯普薩膠囊１０公絲,0,,單方,0.68,1030701,9991231,榮民製藥股份有限公司,膠囊劑,CHLORDIAZEPOXIDE HCL,N05BA02,
,A004704100,CHLORPHENIRAMINE TABLETS ”ASTAR”,氯芬尼拉明錠,0,,單方,0.1,840301,9991231,安星製藥股份有限公司,錠劑,CHLORPHENIRAMINE MALEATE,R06AB04,
,A004813100,Aspirin Tablets 324mg ”VPP”,”榮民” 阿斯匹林錠324毫克,0,,單方,0.25,840301,9991231,榮民製藥股份有限公司,錠劑,ASPIRIN,N02BA01,
,A004835100,ECHICON TABLETS ”Y.S.”,益氣空錠,0,,單方,0.34,1070501,9991231,臺灣陽生製藥工業股份,錠劑,DIMETHICONE (=DIMETHYLPOLYSILOXANE=POLYMETHYL SILOXANE),A03AX13,
,A004852212,COUGSTIN INJECTION ”ASTAR”,優咳鎮注射液,2,ML,複方,4.07,890401,9991231,安星製藥股份有限公司,注射劑,CHLORPHENIRAMINE MALEATE+GUAIACOL GLYCERYL ETHER (=GUAIFENESIN)+METHYLEPHEDRINE DL- HCL,R05X,
,A004853209,TRILIZIN INJECTION ”ASTAR”,吐立靜注射液,1,ML,單方,3.64,890401,9991231,安星製藥股份有限公司,注射劑,PERPHENAZINE,N05AB03,
,A004973321,RINDERON-VA CREAM 0.06%,臨得隆維膚水溶性軟膏０．０６％,5,GM,複方,34.3,1120401,9991231,臺灣鹽野義製藥股份有,軟膏劑,BETAMETHASONE (VALERATE)+NEOMYCIN (SULFATE),D07CC01,
,A004974416,EYE RINDERON-A OINTMENT,眼科用臨得隆復合軟膏,3,GM,複方,43.5,1040401,9991231,臺灣鹽野義製藥股份有,點眼膏劑,BETAMETHASONE SODIUM PHOSPHATE+NEOMYCIN (SULFATE),S01CA05,
,A004975416,EYE RINDERON-A SOLUTION,眼科用臨得隆複合液,3,ML,複方,28.1,1120401,9991231,臺灣鹽野義製藥股份有,點眼液劑,BETAMETHASONE DISODIUM PHOSPHATE+NEOMYCIN (SULFATE),S01CA05,
,A004977421,YEN SAN EYE DROPS,眼爽點眼液,5,ML,單方,15.2,981001,9991231,綠洲化學工業有限公司,點眼液劑,CYANOCOBALAMIN (=VIT B12),S01XA98,
,A004977429,YEN SAN EYE DROPS,眼爽點眼液,10,ML,單方,22.6,1120401,9991231,綠洲化學工業有限公司,點眼液劑,CYANOCOBALAMIN (=VIT B12),S01XA98,
,A005185100,TRIAMCINOLONE TABLETS ”JEN SHENG”,脫利炎錠,0,,單方,0.89,1030701,9991231,人生製藥股份有限公司,錠劑,TRIAMCINOLONE,H02AB08,
,A005225100,COLCHICINE TABLETS,癒風錠,0,,單方,0.99,1030701,9991231,國信藥品股份有限公司,錠劑,COLCHICINE,M04AC01,
,A005232100,COLD CAPSULES ”M.T.”,感冒膠囊,0,,複方,0.5,1001201,9991231,明大化學製藥股份有限,膠囊劑,ACETAMINOPHEN (=PARACETAMOL)+CAFFEINE ANHYDROUS+CHLORPHENIRAMINE MALEATE+ETHENZAMIDE (=ETHOXYBENZAMIDE)+METHYLEPHEDRINE DL- HCL+NOSCAPINE,R05X,
,A005300100,PHENOBARBITAL TABLETS 32MG ”VPP”,苯巴比特魯錠３２公絲　〝榮民〞,0,,單方,0.68,1030701,9991231,榮民製藥股份有限公司,錠劑,PHENOBARBITAL,N03AA02,
,A005359100,METRODIN S.C. TABLETS ”YUNG CHI”,除得淨糖衣錠,0,,單方,    -,1050101,9991231,永吉製藥股份有限公司,糖衣錠,METRONIDAZOLE,P01AB01,
,A005628229,PHENAMINCAL-B6 INJECTION ”C.Y.”,”聯邦”芬那命鈣Ｂ６注射液,10,ML,複方,6.2,900401,9991231,聯邦化學製藥股份有限,注射劑,CALCIUM BROMIDE+CHLORPHENIRAMINE MALEATE+METHIONINE DL-+NIACINAMIDE (=NICOTINAMIDE)+PYRIDOXINE HCL+RIBOFLAVIN PHOSPHATE,R06AB54,
,A005789100,FUSTON TABLETS 100MG ”Y.S.”,化痰錠１００公絲,0,,單方,0.28,840301,9991231,永信藥品工業股份有限,錠劑,GUAIACOL GLYCERYL ETHER (=GUAIFENESIN),R05CA03,
,A005807100,LONFLEX CAPSULES ”UNION”,”聯邦”榮富力膠囊,0,,單方,1.13,1050401,9991231,聯邦化學製藥股份有限,膠囊劑,CEPHALEXIN (MONOHYDRATE),J01DB01,
,A005827100,AMINOPHYLINE TABLETS ”JEN SHENG”,氨基非林錠,0,,單方,0.67,1030701,9991231,人生製藥股份有限公司,錠劑,AMINOPHYLLINE (=COROPHYLLIN),R03DA05,
,A005869155,OPIUM TINCTURE,阿片酊,100,ML,單方,230,960101,9991231,衛生福利部食品藥物管,酊劑,MORPHINE,N02AA01,
,A005945100,DEXTROMETHORPHAN TABLETS ”JEN SHENG”,咳利止錠,0,,單方,0.37,890401,9991231,人生製藥股份有限公司,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A006171100,HEPI CAPSULES ”H.C.T.”,血秘膠囊,0,,單方,0.69,1030701,9991231,回春堂製藥廠股份有限,膠囊劑,CINNARIZINE,N07CA02,
,A006194100,PRONALOL TABLETS,整心律錠,0,,單方,0.87,1030701,9991231,豐田藥品股份有限公司,錠劑,PROPRANOLOL HCL,C07AA05,
,A006245100,KINLIZONE TABLETS,筋力弛錠,0,,單方,0.73,1030701,9991231,豐田藥品股份有限公司,錠劑,CHLORMEZANONE,M03BB02,
,A006271100,FUCOLE PARAN TABLETS,理冒伯樂止痛錠,0,,單方,0.41,1110101,9991231,永信藥品工業股份有限,錠劑,ACETAMINOPHEN (=PARACETAMOL),N02BE01,
,A006316100,CENTICON TABLETS,先替康錠,0,,單方,0.45,1091001,9991231,富邦藥品有限公司,錠劑,DEXTROMETHORPHAN HBR,R05DA09,
,A006344100,BUSTON S.C. TABLETS,勿痛糖衣錠,0,,單方,0.96,1030701,9991231,健得方醫藥生技股份有,糖衣錠,BUTYLSCOPOLAMINE BROMIDE (=HYOSCINE BUTYLBROMIDE),A03BB01,
,A006485500,LYBRILE SUPPOSITORIES,化熱栓劑,0,,單方,2.26,1030701,9991231,永信藥品工業股份有限,栓劑,ASPIRIN,N02BA01,
,A006552100,ALLERMIN TABLETS 4MG,亞烈明錠４公絲,0,,單方,0.11,840301,9991231,中國化學製藥股份有限,錠劑,CHLORPHENIRAMINE MALEATE,R06AB04,
,A006618100,ZITHINE TABLETS,止暈錠,0,,單方,0.42,1080401,9991231,豐田藥品股份有限公司,錠劑,MECLIZINE HCL,R06AE05,
,A006638100,CHINCHEN TABLETS,筋健錠,0,,單方,2.35,1120401,9991231,太田藥品股份有限公司,錠劑,CARISOPRODOL,M03BA02,
,A006696100,DICYCLOMINE TABLETS ”F.B”,”富邦”雙克痙錠,0,,單方,0.85,1030701,9991231,富邦藥品有限公司,錠劑,DICYCLOMINE HCL,A03AA07,
,A006749209,LONGCORT INJECTION,榮可德注射液,1,ML,單方,11.9,1030701,9991231,安星製藥股份有限公司,注射劑,BETAMETHASONE (SODIUM PHOSPHATE),H02AB01,
,A006761100,TRIZYLASE CAPSULES ”BOWLIN”,三酵素膠囊,0,,複方,0.9,1030701,9991231,寶齡富錦生技股份有限,膠囊劑,DIASTASE+PANCREATIN (=DIASTASE VERA)+PEPSIN SACCHARATED,A09AA02,
,A006795100,MAGNESIUM OXIDE TABLETS ”HONTEN”,氧化鎂錠,0,,單方,0.32,1120601,9991231,豐田藥品股份有限公司,錠劑,MAGNESIUM OXIDE,A02AA02,
,A006819100,CHLORPROMAZINE HCL S.C. TABLETS 50MG ”VPP”,鹽酸氯普魯麻淨糖衣錠５０公絲,0,,單方,0.6,1030701,9991231,榮民製藥股份有限公司,糖衣錠,CHLORPROMAZINE (HCL),N05AA01,
,A006820277,SODIUM AMPICILLIN FOR INJECTION 500MG ”VPP”,安比西林鈉注射劑５００公絲,500,MG,單方,10.6,1050501,9991231,榮民製藥股份有限公司,乾粉注射劑,AMPICILLIN (SODIUM),J01CA01,
,A006822100,CHLORPROMAZINE HCL S.C. TABLETS 25MG ”VPP”,鹽酸氯普魯麻淨糖衣錠２５公絲,0,,單方,0.55,1030701,9991231,榮民製藥股份有限公司,糖衣錠,CHLORPROMAZINE (HCL),N05AA01,
